Timestamp,Player,Damage,Kills,Assists,Knocks,Survival Time,Squad Placed,,Email Address,,Game Number
3/15/2021 16:55:42,Nat,240,2,1,2,4:06,14,,,,1
3/15/2021 16:55:49,Oliver,486,2,0,2,4:35,14,,,,1
3/15/2021 17:00:10,Oliver,76,0,0,0,1:52,18,,,,2
3/15/2021 17:00:21,Nat,213,0,0,0,1:53,18,,,,2
3/15/2021 17:13:19,Nat,738,0,1,3,10:21,8,,,,3
3/15/2021 17:13:21,Isaac,197,2,0,2,10:16,8,,,,3
3/15/2021 17:22:04,Nat,322,1,0,1,6:07,11,,,,4
3/15/2021 17:23:00,Connor,336,0,1,1,6:07,11,,,,4
3/15/2021 17:28:00,Isaac,108,0,0,0,2:12,16,,,,5
3/15/2021 17:28:34,Connor,108,0,0,0,2:12,16,,,,5
3/15/2021 17:47:08,Nat,601,0,3,1,12:30,6,,,,6
3/15/2021 17:47:17,Isaac,401,2,0,1,12:31,6,,,,6
3/15/2021 17:58:28,Nat,501,1,0,2,8:09,9,,,,7
3/15/2021 18:00:03,Oliver,128,0,0,0,8:09,9,,,,7
3/15/2021 18:22:14,Isaac,794,3,3,1,16:01,1,,,,8
3/15/2021 18:22:31,Nat,1195,6,0,5,16:01,1,,,,8
3/15/2021 18:22:57,Nat,30,0,0,0,0:30,17,,,,9
3/15/2021 18:22:59,Isaac,30,0,0,0,0:30,17,,,,9
3/15/2021 18:41:56,Nat,686,5,2,3,16:30,3,,,,10
3/15/2021 18:42:04,Isaac,708,1,2,1,16:30,3,,,,10
3/15/2021 18:47:56,Nat,65,0,0,0,2:24,12,,,,11
3/15/2021 18:47:57,Isaac,95,0,1,0,2:12,12,,,,11
3/15/2021 22:03:28,Isaac,303,2,2,2,10:15,6,,,,12
3/15/2021 22:03:32,Connor,303,0,1,1,10:30,6,,,,12
3/15/2021 22:14:13,Isaac,648,1,1,3,8:40,9,,,,13
3/15/2021 22:14:42,Connor,689,1,1,2,8:43,9,,,,13
3/15/2021 22:30:17,Isaac,650,1,0,0,13:17,3,,,,14
3/15/2021 22:30:31,Connor,420,1,1,0,13:18,3,,,,14
3/15/2021 22:54:40,Connor,870,2,2,1,17:23,2,,,,15
3/15/2021 22:55:41,Isaac,515,4,1,0,17:23,2,,,,15
,,,,,,,,,,,
3/15/2021 23:20:51,Isaac,1036,3,2,3,14:58,1,,,,
3/15/2021 23:21:02,Connor,1046,2,6,2,14:38,1,,,,
3/15/2021 23:33:55,Isaac,104,1,0,0,9:47,5,,,,
3/15/2021 23:44:39,Nat,140,0,0,0,7:32,5,,,,
3/15/2021 23:44:41,Oliver,0,0,0,0,7:32,5,,,,
3/16/2021 0:09:34,Nat,140,0,0,0,7:32,5,,,,
3/16/2021 0:10:07,Oliver,602,2,3,0,22:38,1,,,,
3/16/2021 0:10:54,Nat,1113,4,1,2,22:34,1,,,,
3/16/2021 15:39:44,Oliver,184,1,0,1,6:12,10,,,,
3/16/2021 15:40:22,Isaac,240,1,1,0,6:12,10,,,,
3/16/2021 15:44:03,Isaac,0,0,0,0,1:10,18,,,,
3/16/2021 15:44:33,Connor,0,0,0,0,1:10,18,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3/16/2021 17:43:43,Isaac,625,2,1,1,19:43,1,,,,
3/16/2021 17:48:47,Isaac,100,0,0,0,2:33,13,,,,
3/16/2021 17:49:06,Oliver,61,0,0,1,2:41,13,,,,
3/16/2021 17:57:21,Oliver,196,0,0,1,5:48,8,,,,
3/16/2021 17:57:35,Isaac,111,0,0,0,5:48,8,,,,
3/16/2021 18:02:08,Oliver,120,0,0,1,2:34,15,,,,
3/16/2021 18:02:22,Nat,85,0,0,0,2:34,15,,,,
3/16/2021 18:19:57,Oliver,316,1,0,1,15:08,4,,,,
3/16/2021 18:20:19,Nat,235,0,1,0,14:16,4,,,,
3/16/2021 18:33:55,Oliver,94,0,0,0,11:24,7,,,,
3/16/2021 18:34:21,Isaac,556,0,0,0,11:42,7,,,,
3/16/2021 18:55:56,Isaac,673,2,2,2,15:38,2,,,,
3/16/2021 18:56:12,Nat,548,3,2,1,15:13,2,,,,
3/16/2021 19:01:02,Oliver,31,1,0,1,2:29,15,,,,
3/16/2021 19:01:27,Isaac,269,1,0,1,2:30,15,,,,
3/16/2021 19:02:55,Isaac,303,2,2,2,10:15,6,,,,
3/16/2021 19:03:02,Isaac,197,2,0,2,10:16,8,,,,
